adjudicante
"505111667 - Urbe - Consultores Associados, L.da"
"505111667 - Urbe - Consultores Associados, L.da"
506613399 - Município de Góis
507105141 - Freguesia de Carvalhosa
507104676 - Freguesia de Joane
"502091835 - Associação In Loco de Intervenção, Formação e Estudos para o Desenvolvimento Local"
"502091835 - Associação In Loco de Intervenção, Formação e Estudos para o Desenvolvimento Local"
"510837778 - União das Freguesias de Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure"
"505111667 - Urbe - Consultores Associados, L.da"
"505111667 - Urbe - Consultores Associados, L.da"
507223500 - Freguesia de Moreira de Cónegos
"509822932 - Unidade Local de Saúde da Região de Leiria, E. P. E."
506359670 - Município de Vila Real
503494933 - Instituto Politécnico do Cávado e do Ave
506149811 - Município de Montalegre
506859487 - Município de Alijó
"509822940 - Centro Hospitalar Tondela-Viseu, E. P. E."
600087484 - Direção Regional das Comunicações e da Transição Digital
"504322915 - Instituto de Informática, I. P."
506349381 - Município de Resende
506770664 - Município de Vouzela
671001116 - Serviços de Acção Social da Universidade da Madeira
"508142156 - Unidade Local de Saúde de Gaia/Espinho, E. P. E."
"508142156 - Unidade Local de Saúde de Gaia/Espinho, E. P. E."
"508142156 - Unidade Local de Saúde de Gaia/Espinho, E. P. E."
506608972 - Município de Torres Novas
"508481287 - Unidade Local de Saúde de Santa Maria, E. P. E."
505181266 - Município de Leiria
502177080 - Município de Mafra
501132872 - Município de Alter do Chão
502017368 - Autoridade Nacional de Comunicações
502823305 - Área Metropolitana do Porto
506970892 - Freguesia de Ronfe
506831957 - APPC - Associação do Porto de Paralisia Cerebral
510856861 - Freguesia de Avenidas Novas
502173653 - Município de Torres Vedras
600075761 - Agrupamento de Escolas Marinha Grande Nascente
"600034984 - Escola Profissional Agrícola Engº. Silva Nunes, Molares, Celorico de Basto"
"508481287 - Unidade Local de Saúde de Santa Maria, E. P. E."
"600074447 - Agrupamento de Escolas de Monte da Ola, Viana do Castelo"
508955645 - Instituto de Geografia e Ordenamento do Território
"600074447 - Agrupamento de Escolas de Monte da Ola, Viana do Castelo"
"508142156 - Unidade Local de Saúde de Gaia/Espinho, E. P. E."
"508481287 - Centro Hospitalar Universitário de Lisboa Norte, EPE"
501258027 - Município de Arraiolos
"505246473 - STCP Serviços - Transportes Urbanos, Consultoria e Participações, Unipessoal, Lda."
"600074447 - Agrupamento de Escolas de Monte da Ola, Viana do Castelo"
"505174839 - Parques de Sintra-Monte da Lua, SA"
"600074447 - Agrupamento de Escolas de Monte da Ola, Viana do Castelo"
505335018 - Município de Vila Nova de Gaia
"600077829 - Agrupamento de Escolas Guerra Junqueiro, Freixo de Espada à Cinta"
"508142156 - Unidade Local de Saúde de Gaia/Espinho, E. P. E."
505948605 - Município de Guimarães
"600074447 - Agrupamento de Escolas de Monte da Ola, Viana do Castelo"
"507618319 - Centro Hospitalar de Lisboa Ocidental, E. P. E."
"600074447 - Agrupamento de Escolas de Monte da Ola, Viana do Castelo"
502659807 - Faculdade de Farmácia 
"504915266 - Inframoura, E.M."
504603205 - Fundação Escola Profissional de Leiria
"508142156 - Unidade Local de Saúde de Gaia/Espinho, E. P. E."
"600074447 - Agrupamento de Escolas de Monte da Ola, Viana do Castelo"
"509822940 - Centro Hospitalar Tondela-Viseu, E. P. E."
"508481287 - Unidade Local de Saúde de Santa Maria, E. P. E."
512021155 - Instituto de Alimentação e Mercados Agrícolas
506841561 - Munícipio de Fafe
506663264 - Município de Vila Nova de Famalicão
"509822940 - Centro Hospitalar Tondela-Viseu, E. P. E."
"508142156 - Unidade Local de Saúde de Gaia/Espinho, E. P. E."
"508142156 - Unidade Local de Saúde de Gaia/Espinho, E. P. E."
"505120151 - FEIRA VIVA - CULTURA E DESPORTO, E.M."
"505174839 - Parques de Sintra-Monte da Lua, SA"
506892646 - Município de São João da Pesqueira
506892646 - Município de São João da Pesqueira
506656128 - Município de Paredes
600081540 - Agrupamento de Escolas de Nisa
"507023129 - Lisboa Ocidental, SRU - Sociedade de Reabilitação Urbana E. M., S. A."
506892646 - Município de São João da Pesqueira
502661038 - Município de Abrantes
500792771 - Banco de Portugal
506854299 - Município de Baião
"503933813 - Infraestruturas de Portugal, S. A."
"600081770 - Agrupamento de Escolas António Rodrigues Sampaio, Esposende"
505941350 - Município de Santarém
"509822932 - Unidade Local de Saúde da Região de Leiria, E. P. E."
512021155 - Instituto de Alimentação e Mercados Agrícolas
506804240 - Município de Lagoa
"506197174 - MS - Matosinhos Sport - Empresa Municipal de Gestão e Equipamentos Desportivos e de Lazer, E. M."
"502383887 - Escola Evaristo Nogueira, L.da"
501227083 - Associação para a Recuperação de Cidadãos Inadaptados da Lousã (A. R. C. I. L.)
600082490 - Autoridade Nacional de Emergência e Proteção Civil
503720364 - Instituto Politécnico de Setúbal
504603205 - Fundação Escola Profissional de Leiria
"507023129 - Lisboa Ocidental, SRU - Sociedade de Reabilitação Urbana E. M., S. A."
"501442600 - Instituto do Emprego e Formação Profissional, IP"
502834846 - Município do Montijo
"503035416 - Hospital Professor Doutor Fernando Fonseca, E. P. E."
"503035416 - Hospital Professor Doutor Fernando Fonseca, E. P. E."
680015965 - Serviços Municipalizados de Transportes Urbanos de Coimbra
"505037700 - Domus Social, EM"
"515545180 - Hospital de Braga, E. P. E."
"515545180 - Hospital de Braga, E. P. E."
"508142156 - Unidade Local de Saúde de Gaia/Espinho, E. P. E."
680047360 - Serviços de Acção Social da Universidade do Minho
"508142156 - Unidade Local de Saúde de Gaia/Espinho, E. P. E."
505776758 - Município da Marinha Grande
"511035365 - IHM - Investimentos Habitacionais da Madeira, EPERAM"
"508142156 - Unidade Local de Saúde de Gaia/Espinho, E. P. E."
505932512 - Município de Aljezur
508096707 - Freguesia de Vila Real de Santo António
"508094461 - Unidade Local de Saúde do Alto Alentejo, E. P. E."
600012662 - MARINHA - Direção de Navios
506625419 - Município de Almeida
503606251 - Instituto Politécnico do Porto
503449997 - CTP - Confederação do Turismo Portugal
"501460888 - Instituto da Habitação e da Reabilitação Urbana, I. P."
"508094461 - Unidade Local de Saúde do Alto Alentejo, E. P. E."
506657957 - Município de Penacova
"508786193 - Unidade Local de Saúde do Alto Minho, E. P. E."
"503035416 - HOSPITAL PROFESSOR DOUTOR FERNANDO FONSECA, EPE"
"510306624 - Agência Portuguesa do Ambiente, I.P."
504884620 - Município de Beja
503518689 - Associação de Municípios do Douro Superior
"503035416 - HOSPITAL PROFESSOR DOUTOR FERNANDO FONSECA, EPE"
"503035416 - HOSPITAL PROFESSOR DOUTOR FERNANDO FONSECA, EPE"
506579425 - Município de Faro
"503933813 - Infraestruturas de Portugal, S. A."
"503035416 - HOSPITAL PROFESSOR DOUTOR FERNANDO FONSECA, EPE"
506848957 - Município de Gondomar
506812782 - Serviços Sociais da Câmara Municipal de Lisboa
600054128 - Assembleia da República
510361242 - INSTITUTO DE GESTÃO FINANCEIRA E EQUIPAMENTOS DA J
600054128 - Assembleia da República
"509821197 - Unidade Local de Saúde de São João, E. P. E."
506656128 - Município de Paredes
501158740 - Município de Espinho
506656128 - Município de Paredes
506822680 - Município de Tondela
"508142156 - Unidade Local de Saúde de Gaia/Espinho, E. P. E."
"503035416 - HOSPITAL PROFESSOR DOUTOR FERNANDO FONSECA, EPE"
"503035416 - HOSPITAL PROFESSOR DOUTOR FERNANDO FONSECA, EPE"
"503035416 - HOSPITAL PROFESSOR DOUTOR FERNANDO FONSECA, EPE"
"501373357 - IAPMEI - Agência para a Competitividade e Inovação, I. P."
"509574513 - A. R. M. - Águas e Resíduos da Madeira, S. A."
502077352 - Centro de Formação Profissional da Industria Metalúrgica e Metalomecânica (CENFIM)
501288120 - Município de Alvito
"508142156 - Unidade Local de Saúde de Gaia/Espinho, E. P. E."
"508142156 - Unidade Local de Saúde de Gaia/Espinho, E. P. E."
510835180 - União das Freguesias de Briteiros Santo Estêvão e Donim
600020339 - Procuradoria-Geral da República
600038009 - Serviços de Ação Social da Universidade de Évora
"517392259 - Unidade Local de Saúde de Santo António, E. P. E."
"517392259 - Unidade Local de Saúde de Santo António, E. P. E."
501791949 - Centro de Formação Profissional para o Comércio e Afins - CECOA
"509822940 - Centro Hospitalar Tondela-Viseu, E. P. E."
501306269 - Município de Ovar
"502237490 - Instituto Nacional de Estatística, I. P."
500745943 - Município de Oeiras
"507618319 - Centro Hospitalar de Lisboa Ocidental, E. P. E."
506785815 - Município de São Pedro do Sul
501294996 - Município de Loures
504603205 - Fundação Escola Profissional de Leiria
"508142156 - Unidade Local de Saúde de Gaia/Espinho, E. P. E."
"508142156 - Unidade Local de Saúde de Gaia/Espinho, E. P. E."
"508142156 - Unidade Local de Saúde de Gaia/Espinho, E. P. E."
600076024 - Agrupamento de Escolas de Oliveira de Frades
500745943 - Município de Oeiras
"508142156 - Unidade Local de Saúde de Gaia/Espinho, E. P. E."
"508142156 - Unidade Local de Saúde de Gaia/Espinho, E. P. E."
504293125 - Município de Odivelas
"507718666 - CMPEAE - Empresa de Águas e Energia do Município do Porto, E. M."
"508142156 - Unidade Local de Saúde de Gaia/Espinho, E. P. E."
512065837 - Município do Corvo
501305912 - Câmara Municipal de Matosinhos
"508142156 - Unidade Local de Saúde de Gaia/Espinho, E. P. E."
511233639 - Câmara Municipal da Calheta
"508142156 - Unidade Local de Saúde de Gaia/Espinho, E. P. E."
506663264 - Município de Vila Nova de Famalicão
502678917 - Município de Castelo de Paiva
506801969 - Município de Castro Marim
"509822932 - Centro Hospitalar de Leiria, E. P. E."
504828576 - Município de Évora
"508894034 - E. T. P. M. M. - Escola Técnica e Profissional Marquês de Marialva, S. A."
511233639 - Câmara Municipal da Calheta
"508142156 - Unidade Local de Saúde de Gaia/Espinho, E. P. E."
"500086826 - Docapesca - Portos e Lotas, S. A."
501073655 - Município do Marco de Canaveses
"508142156 - Unidade Local de Saúde de Gaia/Espinho, E. P. E."
"508142156 - Unidade Local de Saúde de Gaia/Espinho, E. P. E."
"509932584 - Unidade Local de Saúde do Nordeste, EPE"
"508142156 - Unidade Local de Saúde de Gaia/Espinho, E. P. E."
"504534440 - Soenprol - Sociedade de Ensino Profissional, L.da"
600082571 - Direção-Geral da Política de Justiça
504293125 - Município de Odivelas
506818837 - Município de Silves
"508142156 - Unidade Local de Saúde de Gaia/Espinho, E. P. E."
"508142156 - Unidade Local de Saúde de Gaia/Espinho, E. P. E."
501621288 - Faculdade de Motricidade Humana
"508142156 - Unidade Local de Saúde de Gaia/Espinho, E. P. E."
506886964 - Município de Boticas
"507618319 - Centro Hospitalar de Lisboa Ocidental, E. P. E."
"508142156 - Unidade Local de Saúde de Gaia/Espinho, E. P. E."
501791949 - Centro de Formação Profissional para o Comércio e Afins - CECOA
505763621 - Município do Cadaval
505181266 - Município de Leiria
"509822932 - Centro Hospitalar de Leiria, E. P. E."
506852032 - Município de Sernancelhe
"503933813 - Infraestruturas de Portugal, S. A."
506852032 - Município de Sernancelhe
"503933813 - Infraestruturas de Portugal, S. A."
